PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31643755","Denileukin Diftitox","","2017 Dec 27. LiverTox: Clinical and Research Information on Drug-Induced Liver Injury [Internet]. Bethesda (MD): National Institute of Diabetes and Digestive and Kidney Diseases; 2012–.","","LiverTox: Clinical and Research Information on Drug-Induced Liver Injury","2012","2017/12/27","","",""
"11702307","Denileukin diftitox","Figgitt DP, Lamb HM, Goa KL.","Am J Clin Dermatol. 2000 Jan-Feb;1(1):67-72; discussion 73. doi: 10.2165/00128071-200001010-00008.","Figgitt DP","Am J Clin Dermatol","2000","2001/11/13","","","10.2165/00128071-200001010-00008"
"19817678","Denileukin diftitox: a novel immunotoxin","Manoukian G, Hagemeister F.","Expert Opin Biol Ther. 2009 Nov;9(11):1445-51. doi: 10.1517/14712590903348135.","Manoukian G","Expert Opin Biol Ther","2009","2009/10/13","","","10.1517/14712590903348135"
"33355734","Denileukin Diftitox","","2020 Dec 21. Drugs and Lactation Database (LactMed) [Internet]. Bethesda (MD): National Library of Medicine (US); 2006–.","","Drugs and Lactation Database (LactMed)","2006","2020/12/21","","",""
"15757436","Denileukin diftitox: a concise clinical review","Eklund JW, Kuzel TM.","Expert Rev Anticancer Ther. 2005 Feb;5(1):33-8. doi: 10.1586/14737140.5.1.33.","Eklund JW","Expert Rev Anticancer Ther","2005","2005/03/11","","","10.1586/14737140.5.1.33"
"18684057","Optimizing denileukin diftitox (Ontak) therapy","Duvic M, Talpur R.","Future Oncol. 2008 Aug;4(4):457-69. doi: 10.2217/14796694.4.4.457.","Duvic M","Future Oncol","2008","2008/08/08","","","10.2217/14796694.4.4.457"
"17882663","Denileukin diftitox as novel targeted therapy for lymphoid malignancies","Wong BY, Gregory SA, Dang NH.","Cancer Invest. 2007 Sep;25(6):495-501. doi: 10.1080/07357900701360096.","Wong BY","Cancer Invest","2007","2007/09/21","","","10.1080/07357900701360096"
"16516670","Clinical experience with denileukin diftitox (ONTAK)","Foss F.","Semin Oncol. 2006 Feb;33(1 Suppl 3):S11-6. doi: 10.1053/j.seminoncol.2005.12.017.","Foss F","Semin Oncol","2006","2006/03/07","","","10.1053/j.seminoncol.2005.12.017"
"17187516","Denileukin diftitox: a biotherapeutic paradigm shift in the treatment of lymphoid-derived disorders","Turturro F.","Expert Rev Anticancer Ther. 2007 Jan;7(1):11-7. doi: 10.1586/14737140.7.1.11.","Turturro F","Expert Rev Anticancer Ther","2007","2006/12/26","","","10.1586/14737140.7.1.11"
"28863467","Suppressor Cell-Depleting Immunotherapy With Denileukin Diftitox is an Effective Host-Directed Therapy for Tuberculosis","Gupta S, Cheung L, Pokkali S, Winglee K, Guo H, Murphy JR, Bishai WR.","J Infect Dis. 2017 Jun 15;215(12):1883-1887. doi: 10.1093/infdis/jix208.","Gupta S","J Infect Dis","2017","2017/09/03","PMC5853937","","10.1093/infdis/jix208"
