PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30187450","Dornase alfa for cystic fibrosis","Yang C, Montgomery M.","Cochrane Database Syst Rev. 2018 Sep 6;9(9):CD001127. doi: 10.1002/14651858.CD001127.pub4.","Yang C","Cochrane Database Syst Rev","2018","2018/09/07","PMC6513278","","10.1002/14651858.CD001127.pub4"
"32310478","Dornase Alfa","Altaf R, Parmar M.","2020 Dec 2. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2020 Jan–.","Altaf RParmar M","StatPearls","2020","2020/12/02","","",""
"22990660","Dornase alfa (Pulmozyme)","Wagener JS, Kupfer O.","Curr Opin Pulm Med. 2012 Nov;18(6):609-14. doi: 10.1097/MCP.0b013e328358d51f.","Wagener JS","Curr Opin Pulm Med","2012","2012/09/20","","","10.1097/MCP.0b013e328358d51f"
"33122405","Use of dornase alfa in the paediatric intensive care unit: current literature and a national cross-sectional survey","den Hollander B, Linssen RSN, Cortjens B, van Etten-Jamaludin FS, van Woensel JBM, Bem RA; Dutch Collaborative PICU Research Network.","Eur J Hosp Pharm. 2020 Oct 29:ejhpharm-2020-002507. doi: 10.1136/ejhpharm-2020-002507. Online ahead of print.","den Hollander B","Eur J Hosp Pharm","2020","2020/10/30","","","10.1136/ejhpharm-2020-002507"
"32511514","Nebulized in-line endotracheal dornase alfa and albuterol administered to mechanically ventilated COVID-19 patients: A case series","Weber AG, Chau AS, Egeblad M, Barnes BJ, Janowitz T.","medRxiv. 2020 May 15:2020.05.13.20087734. doi: 10.1101/2020.05.13.20087734. Preprint.","Weber AG","medRxiv","2020","2020/06/09","PMC7273282","","10.1101/2020.05.13.20087734"
"29999662","Dornase Alfa","","2018 Dec 3. Drugs and Lactation Database (LactMed) [Internet]. Bethesda (MD): National Library of Medicine (US); 2006–.","","Drugs and Lactation Database (LactMed)","2006","2018/12/03","","",""
"32355564","Consideration of dornase alfa for the treatment of severe COVID-19 acute respiratory distress syndrome","Earhart AP, Holliday ZM, Hofmann HV, Schrum AG.","New Microbes New Infect. 2020 Apr 30;35:100689. doi: 10.1016/j.nmni.2020.100689. eCollection 2020 May.","Earhart AP","New Microbes New Infect","2020","2020/05/02","PMC7192073","","10.1016/j.nmni.2020.100689"
"27043279","Dornase alfa for cystic fibrosis","Yang C, Chilvers M, Montgomery M, Nolan SJ.","Cochrane Database Syst Rev. 2016 Apr 4;4:CD001127. doi: 10.1002/14651858.CD001127.pub3.","Yang C","Cochrane Database Syst Rev","2016","2016/04/05","","","10.1002/14651858.CD001127.pub3"
"27457496","Timing of dornase alfa inhalation for cystic fibrosis","Dentice R, Elkins M.","Cochrane Database Syst Rev. 2016 Jul 26;7(7):CD007923. doi: 10.1002/14651858.CD007923.pub4.","Dentice R","Cochrane Database Syst Rev","2016","2016/07/27","PMC6474180","","10.1002/14651858.CD007923.pub4"
"24811400","Dornase Alfa for Non-Cystic Fibrosis Pediatric Pulmonary Atelectasis","Thornby KA, Johnson A, Axtell S.","Ann Pharmacother. 2014 Aug;48(8):1040-1049. doi: 10.1177/1060028014535199. Epub 2014 May 8.","Thornby KA","Ann Pharmacother","2014","2014/05/10","","","10.1177/1060028014535199"
