PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29482402","Etanercept for the treatment of rheumatoid arthritis","Zhao S, Mysler E, Moots RJ.","Immunotherapy. 2018 Mar 1;10(6):433-445. doi: 10.2217/imt-2017-0155. Epub 2018 Feb 27.","Zhao S","Immunotherapy","2018","2018/02/28","","","10.2217/imt-2017-0155"
"30616405","Etanercept biosimilar SB-4","Pelechas E, Drosos AA.","Expert Opin Biol Ther. 2019 Mar;19(3):173-179. doi: 10.1080/14712598.2019.1566456. Epub 2019 Jan 11.","Pelechas E","Expert Opin Biol Ther","2019","2019/01/09","","","10.1080/14712598.2019.1566456"
"30411183","Review of Biosimilar Trials and Data on Etanercept in Rheumatoid Arthritis","Chadwick L, Zhao S, Mysler E, Moots RJ.","Curr Rheumatol Rep. 2018 Nov 9;20(12):84. doi: 10.1007/s11926-018-0799-0.","Chadwick L","Curr Rheumatol Rep","2018","2018/11/10","PMC6244902","","10.1007/s11926-018-0799-0"
"30747501","Etanercept and Methotrexate as Monotherapy or in Combination for Psoriatic Arthritis: Primary Results From a Randomized, Controlled Phase III Trial","Mease PJ, Gladman DD, Collier DH, Ritchlin CT, Helliwell PS, Liu L, Kricorian G, Chung JB.","Arthritis Rheumatol. 2019 Jul;71(7):1112-1124. doi: 10.1002/art.40851. Epub 2019 May 28.","Mease PJ","Arthritis Rheumatol","2019","2019/02/13","PMC6618246","","10.1002/art.40851"
"28940172","GP2015: An Etanercept Biosimilar","Deeks ED.","BioDrugs. 2017 Dec;31(6):555-558. doi: 10.1007/s40259-017-0246-1.","Deeks ED","BioDrugs","2017","2017/09/24","PMC6096535","","10.1007/s40259-017-0246-1"
"28682112","Etanercept for treating axial spondyloarthritis","Guillot X, Prati C, Sondag M, Wendling D.","Expert Opin Biol Ther. 2017 Sep;17(9):1173-1181. doi: 10.1080/14712598.2017.1347156. Epub 2017 Jul 6.","Guillot X","Expert Opin Biol Ther","2017","2017/07/07","","","10.1080/14712598.2017.1347156"
"31469238","Cardiovascular Safety of Tocilizumab Versus Etanercept in Rheumatoid Arthritis: A Randomized Controlled Trial","Giles JT, Sattar N, Gabriel S, Ridker PM, Gay S, Warne C, Musselman D, Brockwell L, Shittu E, Klearman M, Fleming TR.","Arthritis Rheumatol. 2020 Jan;72(1):31-40. doi: 10.1002/art.41095.","Giles JT","Arthritis Rheumatol","2020","2019/08/31","","","10.1002/art.41095"
"28596043","Tildrakizumab versus placebo or etanercept for chronic plaque psoriasis (reSURFACE 1 and reSURFACE 2): results from two randomised controlled, phase 3 trials","Reich K, Papp KA, Blauvelt A, Tyring SK, Sinclair R, Thaçi D, Nograles K, Mehta A, Cichanowitz N, Li Q, Liu K, La Rosa C, Green S, Kimball AB.","Lancet. 2017 Jul 15;390(10091):276-288. doi: 10.1016/S0140-6736(17)31279-5. Epub 2017 Jun 6.","Reich K","Lancet","2017","2017/06/10","","","10.1016/S0140-6736(17)31279-5"
"28837372","Update upon efficacy and safety of etanercept for the treatment of spondyloarthritis and juvenile idiopathic arthritis","Murdaca G, Negrini S, Magnani O, Penza E, Pellecchio M, Gulli R, Mandich P, Puppo F.","Mod Rheumatol. 2018 May;28(3):417-431. doi: 10.1080/14397595.2017.1366006. Epub 2017 Aug 24.","Murdaca G","Mod Rheumatol","2018","2017/08/25","","","10.1080/14397595.2017.1366006"
"28388820","Rheumatoid Arthritis Treatment After Methotrexate: The Durability of Triple Therapy Versus Etanercept","Peper SM, Lew R, Mikuls T, Brophy M, Rybin D, Wu H, O'Dell J.","Arthritis Care Res (Hoboken). 2017 Oct;69(10):1467-1472. doi: 10.1002/acr.23255. Epub 2017 Sep 6.","Peper SM","Arthritis Care Res (Hoboken)","2017","2017/04/08","","","10.1002/acr.23255"
