PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30000058","Lepirudin","","2020 Nov 16. Drugs and Lactation Database (LactMed) [Internet]. Bethesda (MD): National Library of Medicine (US); 2006–.","","Drugs and Lactation Database (LactMed)","2006","2020/11/16","","",""
"28600720","Comparisons of argatroban to lepirudin and bivalirudin in the treatment of heparin-induced thrombocytopenia: a systematic review and meta-analysis","Sun Z, Lan X, Li S, Zhao H, Tang Z, Xi Y.","Int J Hematol. 2017 Oct;106(4):476-483. doi: 10.1007/s12185-017-2271-8. Epub 2017 Jun 9.","Sun Z","Int J Hematol","2017","2017/06/11","","","10.1007/s12185-017-2271-8"
"18680447","Lepirudin in the management of heparin-induced thrombocytopenia","Gajra A, Husain J, Smith A.","Expert Opin Drug Metab Toxicol. 2008 Aug;4(8):1131-41. doi: 10.1517/17425255.4.8.1131.","Gajra A","Expert Opin Drug Metab Toxicol","2008","2008/08/06","","","10.1517/17425255.4.8.1131"
"15151481","Lepirudin: a bivalent direct thrombin inhibitor for anticoagulation therapy","Greinacher A.","Expert Rev Cardiovasc Ther. 2004 May;2(3):339-57. doi: 10.1586/14779072.2.3.339.","Greinacher A","Expert Rev Cardiovasc Ther","2004","2004/05/21","","","10.1586/14779072.2.3.339"
"11939684","Removal of lepirudin, a recombinant hirudin, by hemodialysis, hemofiltration, or plasmapheresis","Willey ML, de Denus S, Spinler SA.","Pharmacotherapy. 2002 Apr;22(4):492-9. doi: 10.1592/phco.22.7.492.33671.","Willey ML","Pharmacotherapy","2002","2002/04/10","","","10.1592/phco.22.7.492.33671"
"31005062","The Direct Thrombin Inhibitors Dabigatran and Lepirudin Inhibit GPIbα-Mediated Platelet Aggregation","Trabold K, Makhoul S, Gambaryan S, van Ryn J, Walter U, Jurk K.","Thromb Haemost. 2019 Jun;119(6):916-929. doi: 10.1055/s-0039-1685139. Epub 2019 Apr 20.","Trabold K","Thromb Haemost","2019","2019/04/21","","","10.1055/s-0039-1685139"
"28320219","Monitoring of Argatroban and Lepirudin: What is the Input of Laboratory Values in ""Real Life""?","Seidel H, Kolde HJ.","Clin Appl Thromb Hemost. 2018 Mar;24(2):287-294. doi: 10.1177/1076029617699087. Epub 2017 Mar 21.","Seidel H","Clin Appl Thromb Hemost","2018","2017/03/22","PMC6714685","","10.1177/1076029617699087"
"24811598","Flushing the central venous catheter: is heparin necessary?","Dal Molin A, Allara E, Montani D, Milani S, Frassati C, Cossu S, Tonella S, Brioschi D, Rasero L.","J Vasc Access. 2014 Jul-Aug;15(4):241-8. doi: 10.5301/jva.5000225. Epub 2014 Apr 25.","Dal Molin A","J Vasc Access","2014","2014/05/10","","","10.5301/jva.5000225"
"29426286","Monitoring of argatroban and lepirudin anticoagulation in critically ill patients by conventional laboratory parameters and rotational thromboelastometry - a prospectively controlled randomized double-blind clinical trial","Beiderlinden M, Werner P, Bahlmann A, Kemper J, Brezina T, Schäfer M, Görlinger K, Seidel H, Kienbaum P, Treschan TA.","BMC Anesthesiol. 2018 Feb 9;18(1):18. doi: 10.1186/s12871-018-0475-y.","Beiderlinden M","BMC Anesthesiol","2018","2018/02/11","PMC5810183","","10.1186/s12871-018-0475-y"
"11245656","Recombinant hirudin in clinical practice: focus on lepirudin","Greinacher A, Lubenow N.","Circulation. 2001 Mar 13;103(10):1479-84. doi: 10.1161/01.cir.103.10.1479.","Greinacher A","Circulation","2001","2001/03/14","","","10.1161/01.cir.103.10.1479"
